,CAISO
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,784.4371367614323
8,2495.672223992853
9,3662.15929958439
10,3643.2747018475407
11,4196.738681673662
12,3832.1206792160337
13,3358.553074430428
14,2100.5483328833907
15,1054.6321505348142
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,750.5965699712749
32,2388.0090874271295
33,3504.1739868473774
34,3486.104069422143
35,4015.69164934632
36,3666.803243674487
37,3213.665314395532
38,2009.9308151453026
39,1009.135388516936
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,455.90333458690566
56,2527.7654064938365
57,4021.941746218729
58,3828.3389602982625
59,3943.87610673467
60,3722.169690599942
61,3642.5427383262013
62,2687.0193110413175
63,1305.2574921734697
64,218.58379055536568
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,902.8368155849262
80,3793.2136712345105
81,6193.20074575703
82,7066.809031341006
83,7141.504163565657
84,7118.770862453806
85,6831.356984111124
86,6030.820023529525
87,3658.437671785681
88,8.119036111375236
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,726.9506861462662
104,2239.0884393731676
105,3387.7508495269362
106,4459.099443612662
107,4309.492189143334
108,4073.534438805804
109,3940.9964684034453
110,3688.9735095322953
111,2181.8561339721496
112,19.07743513367273
113,8.03260426680957
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,619.0578894125842
128,2053.4603161002797
129,3005.7022077820757
130,3742.532085912176
131,4153.224149132232
132,4218.653031753074
133,4327.365636723089
134,3784.8092100671815
135,2420.8686569711626
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,876.8463428345813
152,3821.941773135861
153,6031.985715298857
154,6524.19314194578
155,6928.389969126032
156,6773.556507101337
157,6869.716236148253
158,6129.775270261822
159,3766.5276919901808
160,1.6298259160494077
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,852.802272670077
176,3198.3432172822822
177,4553.187644192985
178,5331.0182884964615
179,5179.736252685286
180,5123.507531410336
181,5476.945207995737
182,4847.719041347486
183,2783.321703110031
184,531.4952939560762
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,951.6573522133892
200,4270.116707193796
201,6605.379633446536
202,7362.3174697891745
203,7374.65884755563
204,6791.871564139649
205,6952.309475103578
206,6207.713016527397
207,4104.193739444775
208,21.940227140366325
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,676.506525763319
224,3471.336582788477
225,5256.395837346851
226,5225.464123042039
227,5896.981662627163
228,5968.823063593179
229,5887.003690270772
230,5453.959690003396
231,3498.277108150733
232,1.9955944712782274
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,694.5653290316537
248,3033.8373029997347
249,4803.826294442593
250,5595.610724363238
251,5831.141535795328
252,5752.965351575315
253,5503.402917334504
254,4619.410680385126
255,2860.446535434834
256,595.3417105985606
257,5.0112938602572425
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,788.5508745988183
272,2508.7600047421656
273,3681.364360858556
274,3662.380728692289
275,4218.747179103677
276,3852.217050354967
277,3376.1659668008656
278,2111.5640086479466
279,1060.1628425161887
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,859.4988005753897
296,3223.457825077874
297,4588.941005897803
298,5372.879472356674
299,5220.409512442987
300,5163.739261855598
301,5519.952265547754
302,4885.785175641265
303,2805.1774040757223
304,535.668797218885
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,664.3189309646306
320,3131.557210023979
321,4768.802888293778
322,4966.961591417702
323,5324.296957706746
324,5355.157739340799
325,4918.234041469196
326,4677.844795056567
327,2861.9314336422467
328,958.3084823206161
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,1121.5492132585007
344,4139.718256795216
345,6569.073963371218
346,7126.844420322097
347,7113.82643838249
348,6902.534577670397
349,6488.963305281325
350,5638.7889463023375
351,4264.891160060673
352,1168.6142248863127
353,2.0027664522473225
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,884.9403610230423
368,3497.4665003668033
369,5252.706664969491
370,6038.416581098406
371,6152.287583435929
372,6537.822262778688
373,6467.872932771353
374,5870.863534801763
375,3933.4297664590367
376,956.5164196352
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,544.4998761727021
392,2330.784544572104
393,4084.5617576776126
394,4604.681042379895
395,5209.319710846299
396,5739.19123213675
397,5383.234596668625
398,4526.663149674553
399,2725.7501263929
400,453.4790013498027
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,803.9919996261957
416,3117.2888999591128
417,4382.3225895117985
418,5388.525856649614
419,6059.867264788188
420,6402.817574487894
421,5537.353349538165
422,4647.6237724870425
423,3073.611266176603
424,922.0833798529809
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,956.4712693055947
440,3725.2038909796843
441,5660.880891000515
442,6287.70246986632
