month,day,year,Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS5A,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP5A,LOP5E
1,1,1953,53.80192,25.060368,18.40592,16.140576,67.393984,31.6015488,8.6083072,122.894912,60.456368,-27.3540288,276,619,3984,570,430,2286,999,1470,1470,856,856,1960,0
1,2,1953,131.106784,38.8506496,-70.792,26.617792,123.461248,88.0935648,15.6875072,-2.83168,115.249376,-145.4634016,690,1590,3777,1369,1640,6697,1312,4460,4460,1680,1680,3820,0
1,3,1953,269.292768,45.2502464,141.017664,32.989072,158.290912,86.5361408,18.2360192,-2.83168,100.1565216,-60.4280512,673,1360,3906,1024,885,5634,1215,3870,3870,1450,1450,3920,0
1,4,1953,45.30688,34.0651104,107.887008,27.6371968,125.160256,62.0704256,10.0241472,178.39584,86.1680224,-31.0352128,457,1070,2954,751,604,4056,920,2740,2740,1170,1170,3090,0
1,5,1953,60.88112,24.8338336,68.526656,23.36136,90.61376,47.2324224,9.2312768,164.23744,73.8218976,-25.5983872,393,920,2267,606,465,3264,663,2130,2130,1030,1030,2640,0
1,6,1953,65.978144,21.662352,52.38608,20.7278976,69.942496,37.1516416,7.5322688,135.637472,68.8947744,-16.6219616,292,845,2187,510,388,2617,569,1740,1740,928,928,2340,0
1,7,1953,82.968224,18.7740384,3.681184,19.7368096,61.447456,32.3094688,7.9853376,106.471168,74.4448672,-30.0441248,411,960,2180,917,423,2871,961,1750,1750,1340,1340,2520,0
1,8,1953,208.12848,50.3755872,-21.520768,17.273248,82.685056,53.7169696,18.5191872,50.687072,85.65832,-93.303856,1165,1460,4436,2461,800,4935,2203,2810,2810,3060,3060,4740,0
1,9,1953,469.209376,136.203808,-161.40576,30.015808,658.082432,289.397696,68.0735872,-444.57376,194.8479008,-543.7675104,4399,4820,15607,6873,2840,20763,4054,12500,12500,7120,7120,13600,0
1,10,1953,282.884832,98.542464,625.234944,94.294944,518.763776,101.9971136,31.8280832,158.57408,164.3507072,-214.6979776,2346,3150,8052,3393,1970,9062,3441,5400,5400,3940,3940,11800,0
1,11,1953,-95.710784,77.021696,332.439232,52.38608,308.936288,135.5808384,28.7132352,133.08896,130.398864,-164.8320928,1595,2140,6975,2004,1240,7111,2335,4250,4250,2660,2660,7110,0
1,12,1953,194.253248,69.37616,89.481088,57.483104,521.02912,217.1332224,40.0399552,342.63328,187.740384,-282.4883968,3120,3150,11699,2937,1670,11076,2236,7030,7030,3710,3710,7800,0
1,13,1953,315.449152,118.647392,288.83136,95.710784,658.082432,173.5536672,44.2874752,127.4256,212.234416,-304.7170848,2815,3490,10122,4008,2220,12021,2362,7870,7870,5200,5200,11800,0
1,14,1953,109.586016,111.001856,535.18752,90.896928,531.223168,146.5960736,39.4736192,50.97024,173.865152,-223.6460864,1830,2430,7382,2618,1690,9138,2388,6030,6030,3750,3750,10000,0
1,15,1953,40.776192,67.2524,357.924352,53.518752,377.746112,104.9420608,30.4122432,379.44512,139.743408,-155.176064,1185,1700,5564,1615,1170,6640,2106,4340,4340,2510,2510,6680,0
1,16,1953,174.14832,66.827648,63.995968,49.5544,435.795552,289.7091808,44.2874752,325.6432,168.1451584,-409.0078592,3132,2830,9319,2365,2240,15554,2437,11400,11400,3180,3180,6710,0
1,17,1953,380.011456,113.2672,152.91072,56.6336,944.36528,367.1839456,68.0735872,-79.28704,270.6519744,-814.391168,6182,5860,17352,4961,4000,29810,3923,21500,21500,6480,6480,13800,0
1,18,1953,163.104768,370.2704768,-407.76192,-93.44544,1791.320768,524.56872,118.4774912,-894.81088,577.8609376,-1384.77647,10193,13600,30822,14911,10900,49943,8458,31800,31800,20200,20200,43200,0
1,19,1953,229.082912,211.101744,1345.331168,297.3264,1866.898307,306.5859936,113.7769024,-150.07904,505.0584448,-765.0349856,4974,6690,19521,6087,4500,27988,9284,18300,18300,10600,10600,33000,0
1,20,1953,734.537792,174.714656,696.59328,226.817568,1026.767168,219.3419328,98.5707808,540.85088,412.9722112,-613.483472,4516,5500,15894,6117,3490,22605,7607,14300,14300,9490,9490,20300,0
1,21,1953,945.214784,109.869184,812.69216,198.500768,897.359392,189.72256,51.3666752,1557.424,259.2686208,-389.639168,2604,3840,10507,4035,2590,14670,5711,9330,9330,6230,6230,15600,0
1,22,1953,634.013152,79.570208,506.87072,132.805792,558.407296,148.0685472,43.4379712,1189.3056,247.630416,-268.0751456,1865,2790,8255,2434,1810,10347,3749,6590,6590,4010,4010,10800,0
1,23,1953,494.694496,58.898944,351.12832,89.764256,502.6232,170.4105024,28.7132352,982.59296,217.2181728,-237.8044864,1619,2410,7915,1754,1400,9248,2390,6090,6090,3040,3040,8730,0
1,24,1953,271.274944,45.30688,274.67296,64.279136,384.258976,110.43552,24.7488832,999.58304,188.1368192,-169.1645632,1196,1970,5767,1386,1080,6804,1803,4440,4440,2460,2460,7050,0
1,25,1953,188.023552,54.085088,206.71264,53.235584,347.730304,113.0972992,28.4300672,622.9696,171.599808,-163.0764512,1030,1760,5472,1326,960,6579,1824,4300,4300,2190,2190,6300,0
1,26,1953,253.152192,81.835552,212.659168,67.1957664,393.60352,103.2713696,45.7033152,336.96992,160.1881376,-157.5546752,903,1540,4756,1624,977,6364,2776,4040,4040,2100,2100,6040,0
1,27,1953,257.399712,101.090976,252.01952,55.359344,329.324384,87.5838624,36.9251072,353.96,145.1802336,-119.0438272,713,1340,3745,1477,885,4974,2549,3150,3150,1850,1850,5370,0
1,28,1953,177.263168,38.794016,198.500768,41.908864,253.152192,81.6090176,27.2973952,444.57376,136.4586592,-119.8083808,741,1320,3657,1326,950,4991,2107,3170,3170,1800,1800,4890,0
1,29,1953,173.298816,62.2120096,173.015648,53.235584,334.13824,104.0925568,24.7488832,277.50464,148.7198336,-191.421568,1208,1580,4067,1765,1380,7560,1662,4880,4880,2200,2200,5710,0
1,30,1953,121.195904,40.1249056,144.41568,51.536576,349.429312,127.2273824,19.3686912,172.73248,164.8887264,-250.4054624,1677,2040,5762,1763,1390,9603,1274,6210,6210,2300,2300,6010,0
1,31,1953,129.124608,38.6241152,152.627552,55.784096,411.443104,182.3885088,17.6696832,118.93056,177.6596032,-282.318496,2006,2320,8090,1805,1460,11340,1239,7470,7470,2500,2500,6410,0
2,1,1953,127.991936,34.9146144,129.124608,83.251392,271.84128,138.6956864,19.11384,127.4256,198.4724512,-31.8564,2111,2780,8208,2272,1920,12225,1097,7940,7940,3000,3000,7840,0
2,2,1953,131.956288,35.6225344,100.52464,78.437536,-45.30688,146.7376576,21.662352,141.584,191.1667168,160.3297216,2029,3020,8055,2713,2320,11538,1611,6980,6980,3500,3500,8010,0
2,3,1953,236.162112,128.84144,-348.862976,192.271072,331.30656,291.5497728,45.731632,-141.584,387.9118432,-156.733488,4281,6320,14407,7762,6410,26535,2715,16500,16500,9000,9000,20700,0
