,Site1,Site2,Site3,Site4,Site5,Site6,Site7
1/1/2000,475.5,1481,1585,3222.5,1717.5,3477,3441
1/2/2000,1774.5,2819,2057,3459.5,3393.5,3619.5,3539
1/3/2000,1773.5,2791,3125,3358,3500,3586,3644.5
1/4/2000,1232,1965.5,2173.5,3061.5,3472,3601,3675.5
1/5/2000,2861,2998.5,3279,3499.5,3639,3698.5,3693.5
1/6/2000,1930.5,1942,2927,3584.5,3704,3789,3794.5
1/7/2000,2127,2530,2504.5,2863.5,2587.5,3373,3498
1/8/2000,2788,947,2923.5,3125.5,3496.5,3673.5,3450.5
1/9/2000,794.5,1587.5,2305,2688.5,2764,3629,3735.5
1/10/2000,1033.5,2088.5,3022.5,2889,3645.5,3708,3438.5
1/11/2000,338.5,567,1473,2832,3382.5,3470.5,3620.5
1/12/2000,1642,1328.5,2061,3604,2487,3420.5,3443.5
1/13/2000,328.5,2019.5,2638,3516.5,3591,3761.5,3646.5
1/14/2000,346,1679,1094.5,3165.5,2633.5,3400,3154.5
1/15/2000,421.5,593,544,2647,2197,2889.5,2886.5
1/16/2000,1483.5,1921.5,639.5,891.5,1007.5,563.5,2324
1/17/2000,1365.5,812.5,809.5,1333.5,822.5,2698,2334
1/18/2000,922.5,1848.5,676.5,2706.5,2384,3136,2773.5
1/19/2000,790.5,816.5,2371,3277.5,3107,3439.5,3062.5
1/20/2000,2439,2283.5,1326.5,2240,2695,3633,3759
1/21/2000,1294.5,2065,2424.5,3084.5,2759,3124.5,2847
1/22/2000,2684,1949,2300.5,2903.5,2491.5,3066,3192.5
1/23/2000,319.5,302,365.5,2405.5,1594.5,3128.5,3231.5
1/24/2000,386.5,481.5,382,2270.5,2315,3398.5,3198
1/25/2000,1709,1607,881.5,1450,467.5,574,1198
1/26/2000,3391.5,2251.5,1189.5,4102,4164,4226.5,4161.5
1/27/2000,3558,3579,1701.5,4111,4102,4242,4257
1/28/2000,3569.5,3169,2935.5,4159,4158.5,4333,4220.5
1/29/2000,3071,3232,3125,3961,3318.5,4392.5,4040
1/30/2000,837.5,1237,377.5,2528,1067,3229,3660.5
1/31/2000,1760,1770.5,2317.5,3318,2858.5,3446.5,3348
2/1/2000,2358.5,2358,3918,4284,4300.5,4421,4479.5
2/2/2000,3616,3381.5,3987.5,4287,4451,4536.5,4523
2/3/2000,2540,496,3425,4330.5,4414.5,4542.5,4196
2/4/2000,1786.5,1443,1916,3125.5,1441.5,3680.5,3838
2/5/2000,1991.5,1176.5,3497,4217.5,4203,3562.5,2859
2/6/2000,2953,3085,3667.5,3898,4393,4626.5,4419.5
2/7/2000,3261,2781,3679.5,3946.5,4164.5,4433.5,4230
2/8/2000,2059,1344.5,3195.5,1855,1589,1648.5,1673
2/9/2000,1167,1152,1624.5,3404,2681.5,4066.5,4145.5
